@relation C__Users_nisha_Desktop_Weka_BOF_Training

@attribute text string
@attribute @@class@@ {BugReport,FeatureRequest,Other}

@data
'Placing Quantity Telling Temporal_collocation Sounds Physical_artworks Placing People_by_vocation',BugReport
'Process_continue Perception_active Physical_artworks Evidence Locative_relation Amassing Physical_artworks',BugReport
'Temporal_collocation Touring',BugReport
'Temporal_collocation Desirability Quantity Size',BugReport
'Predicament Means Entity Removing',BugReport
'Frequency Timespan Secrecy_status Request Desiring Scrutiny Contacting Locating Personal_relationship',BugReport
'Removing Measure_duration Ingredients Predicament',BugReport
'Telling Being_necessary Activity_ongoing Using Temporal_collocation Placing Quantity Physical_artworks',BugReport
'Arriving Quantity Quantity Timespan Choosing Desiring Evidence Relative_time Occupy_rank Continued_state_of_affairs Desiring Evidence Occupy_rank First_experience',BugReport
'Quantity Taking_time Placing Quantity',BugReport
'Temporal_collocation Secrecy_status Sole_instance Ordinal_numbers Personal_relationship Placing Temporal_collocation',BugReport
'Activity_finish Quantity Having_or_lacking_access Ingestion Statement Telling Measure_duration Temporal_collocation Locative_relation',BugReport
'Existence Desirability Predicament Contacting Stimulus_focus Resolve_problem',BugReport
'Sending Amassing Statement Impact Sending Statement Manufacturing Predicament',BugReport
'Being_obligated Removing Quantity Frequency Placing Capability Frequency Cognitive_connection Temporal_collocation Becoming Being_operational',BugReport
'Quantity Physical_artworks Placing Have_as_requirement Placing',BugReport
'Required_event Waiting Mental_property Quantity Measure_duration Sensation Placing Working_on',BugReport
'Temporal_collocation Relative_time Cardinal_numbers Capability Grasp Physical_artworks Intentionally_act Placing Speed Desirability Capability Touring Quantity',BugReport
'Frequency Taking_time Military Social_connection Placing Physical_artworks',BugReport
'Type Speed Impact Quantity Timespan',BugReport
'Quantity Chatting Motion Placing Military Thwarting Predicament',BugReport
'Frequency Timespan Attempt Secrecy_status Contacting Activity_pause',BugReport
'Appearance Frequency Getting Taking_time Getting',BugReport
'Temporal_collocation Bringing Taking_time System Stimulus_focus Releasing Familiarity Arriving Quantity',BugReport
'Quantity Frequency Quantity Temporal_collocation Ingest_substance Locative_relation Occupy_rank Telling Familiarity Sending Amassing Cardinal_numbers Age Sending Capability Similarity Statement Appearance Statement Physical_artworks Placing',BugReport
'Frequency Confronting_problem Mental_property Placing Timespan Point_of_dispute',BugReport
'Temporal_collocation People Opinion Conquering Substance Impact Intentionally_act Motion Sufficiency Temporal_collocation',BugReport
'Physical_artworks Placing Temporal_collocation Seeking',BugReport
'Resolve_problem Dimension Predicament Desirability',BugReport
'Temporal_collocation Attempt Sensation Relational_quantity Increment Relational_quantity Measure_duration Relational_quantity Measure_duration Being_operational Desirability',BugReport
'Temporal_collocation Likelihood Sensation Reason',BugReport
'Physical_artworks Statement Physical_artworks Sending Frequency Quantity Removing',BugReport
'Frequency Taking_time Activity_ongoing Statement Grant_permission Perception_experience Temporal_collocation Attempt Perception_active Personal_relationship Statement Statement Activity_pause',BugReport
'Using Quantity Social_connection Predicament Temporal_collocation Physical_artworks Predicament',BugReport
'Military Social_connection Frequency Grant_permission Categorization Statement',BugReport
'Frequency Using Bringing Possession Predicament Ingredients Temporal_collocation',BugReport
'Temporal_collocation Secrecy_status Physical_artworks Experiencer_obj Secrecy_status Time_vector Secrecy_status Physical_artworks',BugReport
'Placing Temporal_collocation Cognitive_connection Temporal_collocation Activity_start Placing Quantity',BugReport
'Using Desirability Relative_time Temporal_collocation Secrecy_status Secrecy_status Similarity',BugReport
'Frequency Military Social_connection Temporal_collocation Attempt',BugReport
