@relation C__Users_nisha_Desktop_Weka_BOW_Training

@attribute text string
@attribute @@class@@ {BugReport,FeatureRequest,Other}

@data
'it wont load any of my notifications when i click on them pictures wont load and my newsfeed wont refresh.',BugReport
'everytime i go on to look at picture nothing shows up just a grey picture.',BugReport
'now it is pointless cant see anything not even e cards.',BugReport
'the current fb app is not good at all for tabs with big screen.',BugReport
'the problem is with the way items displaypics are smalllarge empty space e.t.c the display generally not attractive.',BugReport
'also every time i open it asks me if i want to search my email to find friends.',BugReport
'loading takes time even on 3g con it totaly sucks plz fix it asap',BugReport
'it told me that it needed an update before i continued using it and now it wont load any pictures ',BugReport
'how come no matter how many times i select i want the statuses shown by most recent and not top stories it still wants to show them the top stories first',BugReport
'either loads slower than molasses or doesnt load at all.',BugReport
'when i open it whether on wifi or not only first couple status load and then nothing.',BugReport
'complete and utter rubbish no access to news feeds messages or notifications for weeks now sort it out',BugReport
'its superb app there was a problem on loading page  on my samsung galaxy 5830i please solve anybody',BugReport
'you cant edit your post once you comment and hit send. if you comment on someones status and you make an error you cant fix it.',BugReport
'i had to remove all updates because it would never load and could never connect but now that the updates are gone it works perfectly',BugReport
'no pictures would load and it would take forever for statuses to load.',BugReport
'have to either wait a stupid amount of time for updates or images to load or it just wont work.',BugReport
'after the last two updates i can no longer see pictures it does load the feeds quickly but it isnt as good without being able to see all the pix',BugReport
'slower force closes all the time doesnt load pictures.',BugReport
'plz update this version to faster loadingit crashes many times.',BugReport
'all the tym while chatting its going to hang and force stop what yo ra1 yaaar plzzz fix it',BugReport
'every time i attempt to open it my phone freezes and restarts.',BugReport
'it seems like every update facebook gets the slower it gets.',BugReport
'from when i updated fb app is getting slow and it slow down my system also please release a new update that will over come all poof these',BugReport
'lags constantly news feed loads so terribly slow then a little bo pops up at the top under the status update and whatnot telling me of new posts and once that gthes ten new updates or posts i cannot like comment nor even look a anything else not to mention the pictures dont even load.',BugReport
'im constantly facing unreasonable load times as well as constant freezing issues.',BugReport
'cant update my status im a constant status updater now people are gonna start thinking i fell of this earth bc everytime i update and hit post it acts like its going too then bam nothing.',BugReport
'-pictures dont load when your looking through albums.',BugReport
'fix the incredibly long download problems for a better ',BugReport
'when i try to share images directly from fb to whats app or some other app its not sharing some time and some time it works fine.',BugReport
'when it is possible to share images why cant the videos.',BugReport
'loading pictures or comments on pictures or posts either never loads or takes forever.',BugReport
